depth	# bases at depth	size of A	% of A at depth
523	6064	3137161264	0.0000019
524	6264	3137161264	0.0000020
525	5900	3137161264	0.0000019
526	6078	3137161264	0.0000019
527	5874	3137161264	0.0000019
528	5953	3137161264	0.0000019
529	6079	3137161264	0.0000019
530	5890	3137161264	0.0000019
531	5889	3137161264	0.0000019
532	5680	3137161264	0.0000018
533	5738	3137161264	0.0000018
534	5841	3137161264	0.0000019
535	5727	3137161264	0.0000018
536	5663	3137161264	0.0000018
537	5581	3137161264	0.0000018
538	5623	3137161264	0.0000018
539	5435	3137161264	0.0000017
540	5719	3137161264	0.0000018
541	5354	3137161264	0.0000017
542	5347	3137161264	0.0000017
543	5340	3137161264	0.0000017
544	5286	3137161264	0.0000017
545	5441	3137161264	0.0000017
546	5303	3137161264	0.0000017
547	5419	3137161264	0.0000017
548	5195	3137161264	0.0000017
549	5108	3137161264	0.0000016
550	5198	3137161264	0.0000017
551	5278	3137161264	0.0000017
552	5125	3137161264	0.0000016
553	5157	3137161264	0.0000016
554	5081	3137161264	0.0000016
555	4972	3137161264	0.0000016
556	5043	3137161264	0.0000016
557	5173	3137161264	0.0000016
558	5079	3137161264	0.0000016
559	4994	3137161264	0.0000016
560	4982	3137161264	0.0000016
561	4979	3137161264	0.0000016
562	4947	3137161264	0.0000016
563	4948	3137161264	0.0000016
564	4814	3137161264	0.0000015
565	4838	3137161264	0.0000015
566	4810	3137161264	0.0000015
567	4881	3137161264	0.0000016
568	4720	3137161264	0.0000015
569	4675	3137161264	0.0000015
570	4771	3137161264	0.0000015
571	4645	3137161264	0.0000015
572	4636	3137161264	0.0000015
573	4464	3137161264	0.0000014
574	4746	3137161264	0.0000015
575	4622	3137161264	0.0000015
576	4511	3137161264	0.0000014
577	4483	3137161264	0.0000014
578	4399	3137161264	0.0000014
579	4463	3137161264	0.0000014
580	4450	3137161264	0.0000014
581	4309	3137161264	0.0000014
582	4354	3137161264	0.0000014
583	4230	3137161264	0.0000013
584	4336	3137161264	0.0000014
585	4151	3137161264	0.0000013
586	4347	3137161264	0.0000014
587	4332	3137161264	0.0000014
588	4369	3137161264	0.0000014
589	4237	3137161264	0.0000014
590	4282	3137161264	0.0000014
591	4279	3137161264	0.0000014
592	4070	3137161264	0.0000013
593	4100	3137161264	0.0000013
594	3957	3137161264	0.0000013
595	4124	3137161264	0.0000013
596	4050	3137161264	0.0000013
597	4060	3137161264	0.0000013
598	3788	3137161264	0.0000012
599	3967	3137161264	0.0000013
600	3894	3137161264	0.0000012
601	3964	3137161264	0.0000013
602	3974	3137161264	0.0000013
603	4028	3137161264	0.0000013
604	3808	3137161264	0.0000012
605	3883	3137161264	0.0000012
606	3830	3137161264	0.0000012
