	Count	Standard_1	Standard_2	K562_Fishman-Gridina_ExoCBel	K562_Fishman-Gridina_Quarantine
1101000011	1	0	0	1	1
1101000100	10	0	0	0	0
1101000101	6	0	0	0	1
1101000110	6	0	0	1	0
1101000111	6	0	0	1	1
1101001010	1	0	0	1	0
1101001100	7	0	0	0	0
1101001110	1	0	0	1	0
1101010000	10	0	0	0	0
1101010011	3	0	0	1	1
1101010100	10	0	0	0	0
1101010110	2	0	0	1	0
1101010111	6	0	0	1	1
1101011000	8	0	0	0	0
1101011100	10	0	0	0	0
1101011101	3	0	0	0	1
1101011111	1	0	0	1	1
1101100000	10	0	0	0	0
1101100001	9	0	0	0	1
1101100010	6	0	0	1	0
1101100011	8	0	0	1	1
1101100100	20	0	0	0	0
1101100101	24	0	0	0	1
1101100110	13	0	0	1	0
1101100111	23	0	0	1	1
1101101000	4	0	0	0	0
1101101010	4	0	0	1	0
1101101011	5	0	0	1	1
1101101100	5	0	0	0	0
1101101101	10	0	0	0	1
1101101110	8	0	0	1	0
1101101111	13	0	0	1	1
1101110000	7	0	0	0	0
1101110001	8	0	0	0	1
1101110010	3	0	0	1	0
1101110011	2	0	0	1	1
1101110100	12	0	0	0	0
1101110101	11	0	0	0	1
1101110110	9	0	0	1	0
1101110111	20	0	0	1	1
1101111010	1	0	0	1	0
1101111011	3	0	0	1	1
1101111100	7	0	0	0	0
1101111101	9	0	0	0	1
1101111110	8	0	0	1	0
1101111111	14	0	0	1	1
1110000000	50	0	0	0	0
1110000001	36	0	0	0	1
1110000010	47	0	0	1	0
1110000011	85	0	0	1	1
1110000100	44	0	0	0	0
1110000101	71	0	0	0	1
1110000110	44	0	0	1	0
1110000111	131	0	0	1	1
1110001001	2	0	0	0	1
1110001010	4	0	0	1	0
1110001011	1	0	0	1	1
1110001100	3	0	0	0	0
1110001101	11	0	0	0	1
1110001110	8	0	0	1	0
1110001111	39	0	0	1	1
1110010000	2	0	0	0	0
1110010001	1	0	0	0	1
1110010010	2	0	0	1	0
1110010011	10	0	0	1	1
1110010100	10	0	0	0	0
1110010101	5	0	0	0	1
1110010110	1	0	0	1	0
1110010111	5	0	0	1	1
1110011001	1	0	0	0	1
1110011010	3	0	0	1	0
1110011100	3	0	0	0	0
1110011111	3	0	0	1	1
1110100000	65	0	0	0	0
1110100001	88	0	0	0	1
